"image","x1","y1","x2","y2","user","day","month","year","hour","minute"
"DSC00964_0","0","0","0","0","Ethan","11","11","2016","15","1"
"DSC00964_1","0","0","0","0","Ethan","5","7","2016","18","37"
"DSC00964_2","0","0","0","0","Tyr","12","12","2016","10","10"
"DSC00964_3","0","0","0","0","Ethan","8","11","2016","14","22"
"DSC00965_0","2515","161","2503","324","Ethan","5","7","2016","17","59"
"DSC00965_1","2000","1925","1954","1779","Tyr","8","12","2016","16","9"
"DSC00965_1","450","1757","569","1833","Tyr","8","12","2016","16","9"
"DSC00965_1","2410","1402","2151","1394","Tyr","8","12","2016","16","9"
"DSC00965_1","2757","1593","2849","1485","Tyr","8","12","2016","16","9"
"DSC00965_1","2270","609","2429","685","Tyr","8","12","2016","16","9"
"DSC00965_1","2288","561","2456","644","Tyr","8","12","2016","16","9"
"DSC00965_2","0","0","0","0","Ethan","1","7","2016","15","52"
"DSC00965_3","2733","1550","2809","1620","Tyr","12","12","2016","10","42"
"DSC00965_3","2776","1550","2822","1598","Tyr","12","12","2016","10","42"
"DSC00965_3","2712","1367","2822","1477","Tyr","12","12","2016","10","42"
"DSC00965_3","2577","1283","2528","1224","Tyr","12","12","2016","10","42"
"DSC00965_3","2542","1194","2580","1235","Tyr","12","12","2016","10","42"
"DSC00965_3","2677","1323","2574","1210","Tyr","12","12","2016","10","42"
"DSC00965_3","1984","137","1930","8","Tyr","12","12","2016","10","42"
"DSC00966_0","574","1685","523","1906","Tyr","12","12","2016","10","54"
"DSC00966_0","1075","1272","1081","1407","Tyr","12","12","2016","10","54"
"DSC00966_0","771","394","903","445","Tyr","12","12","2016","10","54"
"DSC00966_0","1348","836","1450","911","Tyr","12","12","2016","10","54"
"DSC00966_0","957","838","1051","881","Tyr","12","12","2016","10","54"
"DSC00966_0","981","795","1046","827","Tyr","12","12","2016","10","54"
"DSC00966_0","709","722","601","687","Tyr","12","12","2016","10","54"
"DSC00966_0","623","1906","612","1809","Tyr","12","12","2016","10","54"
"DSC00966_1","1806","1091","1994","1261","Ethan","8","11","2016","15","13"
"DSC00966_1","1767","1061","1624","961","Ethan","8","11","2016","15","13"
"DSC00966_1","1606","936","1424","921","Ethan","8","11","2016","15","13"
"DSC00966_2","2291","536","2497","576","Ethan","8","11","2016","15","55"
"DSC00966_2","2285","585","2458","597","Ethan","8","11","2016","15","55"
"DSC00966_2","2452","664","2255","597","Ethan","8","11","2016","15","55"
"DSC00966_2","2161","588","2300","633","Ethan","8","11","2016","15","55"
"DSC00966_2","2045","697","2130","527","Ethan","8","11","2016","15","55"
"DSC00966_2","2042","1015","1903","906","Ethan","8","11","2016","15","55"
"DSC00966_2","1894","830","1912","924","Ethan","8","11","2016","15","55"
"DSC00966_2","1882","927","1994","1070","Ethan","8","11","2016","15","55"
"DSC00966_2","2030","1167","2436","1327","Ethan","8","11","2016","15","55"
"DSC00966_2","2345","1252","2167","1145","Ethan","8","11","2016","15","55"
"DSC00966_2","2873","452","2997","682","Ethan","8","11","2016","15","55"
"DSC00966_2","2997","861","2864","600","Ethan","8","11","2016","15","55"
"DSC00966_2","882","1833","1127","1745","Ethan","8","11","2016","15","55"
"DSC00966_3","118","1052","24","909","Ethan","8","11","2016","14","0"
"DSC00966_3","76","821","3","664","Ethan","8","11","2016","14","0"
"DSC00966_3","45","864","0","767","Ethan","8","11","2016","14","0"
"DSC00966_3","652","733","497","682","Ethan","8","11","2016","14","0"
"DSC00966_3","655","609","764","536","Ethan","8","11","2016","14","0"
"DSC00966_3","600","676","494","658","Ethan","8","11","2016","14","0"
"DSC00967_0","2057","1854","2420","1725","Tyr","12","12","2016","10","42"
"DSC00967_0","2531","925","2709","782","Tyr","12","12","2016","10","42"
"DSC00967_0","1782","515","1973","439","Tyr","12","12","2016","10","42"
"DSC00967_0","1714","1515","1765","1380","Tyr","12","12","2016","10","42"
"DSC00967_1","1571","671","1757","655","Tyr","12","12","2016","10","5"
"DSC00967_2","2300","1267","2509","1400","Ethan","7","11","2016","16","10"
"DSC00967_2","2321","1221","2539","1339","Ethan","7","11","2016","16","10"
"DSC00967_2","2742","1855","2930","1909","Ethan","7","11","2016","16","10"
"DSC00967_3","0","0","0","0","Ethan","1","7","2016","16","33"
"DSC00968_0","1642","598","1774","426","Tyr","12","12","2016","9","55"
"DSC00968_0","1035","827","1280","876","Tyr","12","12","2016","9","55"
"DSC00968_0","1469","232","1485","30","Tyr","12","12","2016","9","55"
"DSC00968_0","1420","213","1461","32","Tyr","12","12","2016","9","55"
"DSC00968_0","2830","949","3000","644","Tyr","12","12","2016","9","55"
"DSC00968_0","2752","1148","2881","938","Tyr","12","12","2016","9","55"
"DSC00968_0","2908","1059","3000","898","Tyr","12","12","2016","9","55"
