image,NLBPresent
DSC00964_0,0
DSC00964_1,0
DSC00964_2,0
DSC00964_3,0
DSC00965_0,1
DSC00965_1,1
DSC00965_2,0
DSC00965_3,1
DSC00966_0,1
DSC00966_1,1
DSC00966_2,1
DSC00966_3,1
DSC00967_0,1
DSC00967_1,1
DSC00967_2,1
DSC00967_3,0
DSC00968_0,1
DSC00968_1,1
DSC00968_2,1
DSC00968_3,1
DSC00969_0,1
DSC00969_1,1
DSC00969_2,1
DSC00969_3,0
DSC00970_0,1
DSC00970_1,1
DSC00970_2,1
DSC00970_3,1
DSC00971_0,1
DSC00971_1,1
DSC00971_2,1
DSC00971_3,1
DSC00972_0,1
DSC00972_1,0
DSC00972_2,1
DSC00972_3,1
DSC00973_0,1
DSC00973_1,0
DSC00973_2,1
DSC00973_3,0
DSC00974_0,1
DSC00974_1,0
DSC00974_2,0
DSC00974_3,1
DSC00975_0,1
DSC00975_1,0
DSC00975_2,1
DSC00975_3,0
DSC00976_0,1
DSC00976_1,1
DSC00976_2,1
DSC00976_3,1
DSC00977_0,0
DSC00977_1,0
DSC00977_2,0
DSC00977_3,0
DSC00978_0,1
DSC00978_1,1
DSC00978_2,1
DSC00978_3,1
DSC00979_0,1
DSC00979_1,1
DSC00979_2,1
DSC00979_3,1
DSC00980_0,1
DSC00980_1,1
DSC00980_2,1
DSC00980_3,1
DSC00981_0,1
DSC00981_1,1
DSC00981_2,1
DSC00981_3,0
DSC00982_0,1
DSC00982_1,1
DSC00982_2,1
DSC00982_3,1
DSC00983_0,1
DSC00983_1,1
DSC00983_2,1
DSC00983_3,1
DSC00984_0,1
DSC00984_1,1
DSC00984_2,1
DSC00984_3,1
DSC00985_0,1
DSC00985_1,1
DSC00985_2,1
DSC00985_3,1
DSC00986_0,1
DSC00986_1,1
DSC00986_2,1
DSC00986_3,1
DSC00987_0,1
DSC00987_1,1
DSC00987_2,1
DSC00987_3,1
DSC00988_0,1
DSC00988_1,1
DSC00988_2,1
DSC00988_3,1
DSC00989_0,1
DSC00989_1,1
DSC00989_2,1
DSC00989_3,1
DSC00990_0,1
DSC00990_1,1
DSC00990_2,1
DSC00990_3,1
DSC00991_0,1
DSC00991_1,1
DSC00991_2,1
DSC00991_3,1
DSC00992_0,0
DSC00992_1,1
DSC00992_2,1
DSC00992_3,0
DSC00993_0,1
DSC00993_1,0
DSC00993_2,1
DSC00993_3,0
DSC00994_0,1
DSC00994_1,1
DSC00994_2,1
DSC00994_3,0
DSC00995_0,0
DSC00995_1,1
DSC00995_2,1
DSC00995_3,1
DSC00996_0,1
DSC00996_1,1
DSC00996_2,1
DSC00996_3,1
DSC00997_0,1
DSC00997_1,1
DSC00997_2,1
DSC00997_3,1
DSC00998_0,1
DSC00998_1,1
DSC00998_2,1
DSC00998_3,1
DSC00999_0,1
DSC00999_1,1
DSC00999_2,0
DSC00999_3,1
DSC01000_0,1
DSC01000_1,1
DSC01000_2,0
DSC01000_3,1
DSC01001_0,1
DSC01001_1,1
DSC01001_2,1
DSC01001_3,1
DSC01002_0,0
DSC01002_1,1
DSC01002_2,0
DSC01002_3,0
DSC01003_0,1
DSC01003_1,1
DSC01003_2,1
DSC01003_3,1
DSC01004_0,1
DSC01004_1,1
DSC01004_2,1
DSC01004_3,1
DSC01005_0,1
DSC01005_1,1
DSC01005_2,1
DSC01005_3,1
DSC01006_0,1
DSC01006_1,0
DSC01006_2,1
DSC01006_3,1
DSC01007_0,1
DSC01007_1,1
DSC01007_2,0
DSC01007_3,1
DSC01008_0,1
DSC01008_1,0
DSC01008_2,1
DSC01008_3,1
DSC01009_0,1
DSC01009_1,1
DSC01009_2,1
DSC01009_3,0
DSC01010_0,1
DSC01010_1,0
DSC01010_2,1
DSC01010_3,1
DSC01011_0,1
DSC01011_1,1
DSC01011_2,1
DSC01011_3,1
DSC01012_0,1
DSC01012_1,1
DSC01012_2,0
DSC01012_3,1
DSC01013_0,0
DSC01013_1,1
DSC01013_2,1
DSC01013_3,0
DSC01375,1
DSC01376,1
DSC01377,0
DSC01378,0
DSC01379,0
DSC01380,0
DSC01381,0
DSC01382,0
DSC01383,0
DSC01384,0
DSC01385,1
DSC01386,0
DSC01387,0
DSC01388,0
DSC01389,1
DSC01390,1
DSC01391,0
DSC01392,1
DSC01393,0
DSC01394,1
DSC01395,0
DSC01396,1
DSC01397,1
DSC01398,1
DSC01399,0
DSC01400,0
DSC01401,0
DSC01402,0
DSC01403,0
DSC01404,0
DSC01405,0
DSC01406,0
DSC01407,1
DSC01408,0
DSC01409,0
DSC01410,0
DSC01411,0
DSC01412,0
DSC01413,0
DSC01414,0
DSC01415,0
DSC01416,0
DSC01417,0
DSC01418,0
DSC01419,0
DSC01420,0
DSC01421,0
DSC01422,0
DSC01423,0
DSC01424,0
DSC01425,0
DSC01426,0
DSC01427,0
DSC01428,0
DSC01429,0
DSC01430,0
DSC01431,0
DSC01432,0
DSC01433,0
DSC01434,0
DSC01435,0
DSC01436,0
DSC01437,0
DSC01438,0
DSC01439,0
DSC01440,0
DSC01441,0
DSC01442,1
DSC01443,0
DSC01444,1
DSC01445,0
DSC01446,0
DSC01447,0
DSC01448,0
DSC01449,0
DSC01450,0
DSC01451,0
DSC01452,0
DSC01453,0
DSC01454,0
DSC01455,0
DSC01456,0
DSC01457,1
DSC01458,1
DSC01459,0
DSC01460,0
DSC01461,0
DSC01462,1
DSC01583,1
DSC01584,0
DSC01585,0
DSC01586,0
DSC01587,0
DSC01588,0
DSC01589,1
DSC01590,0
DSC01591,0
DSC01592,0
DSC01593,0
DSC01594,0
DSC01595,0
DSC01596,0
DSC01597,0
DSC01598,0
DSC01599,0
DSC01600,0
DSC01601,0
DSC01602,0
DSC01603,0
DSC01604,1
DSC01605,1
DSC01606,0
DSC01607,0
DSC01608,0
DSC01609,0
DSC01610,0
DSC01611,0
DSC01612,0
DSC01613,0
DSC01614,0
DSC01615,0
DSC01616,0
DSC01617,0
DSC01618,0
DSC01619,0
DSC01620,0
DSC01621,1
DSC01622,0
DSC01623,0
DSC01624,0
DSC01625,0
DSC01626,0
DSC01627,0
DSC01628,0
DSC01629,0
DSC01630,0
DSC01631,1
DSC01632,0
DSC01633,0
DSC01634,0
DSC01635,0
DSC01636,0
DSC01637,0
DSC01638,1
DSC01639,0
DSC01640,1
DSC01641,0
DSC01642,0
DSC01643,0
DSC01644,0
DSC01645,0
DSC01646,0
DSC01647,0
DSC01648,0
DSC01649,0
DSC01650,0
DSC01651,1
DSC01652,0
DSC01653,0
DSC01654,0
DSC01655,1
DSC01656,0
DSC01657,0
DSC01658,0
DSC01659,0
DSC01660,0
DSC01661,0
DSC01662,0
DSC01663,0
DSC01664,0
DSC01665,0
DSC01666,0
DSC01667,0
DSC01668,0
DSC01669,0
DSC01670,0
DSC01671,0
DSC01672,0
DSC01673,1
DSC01674,0
DSC01675,1
DSC01676,0
DSC01677,0
DSC01678,0
DSC01679,1
DSC01680,1
DSC01681,0
DSC01682,0
DSC01683,1
DSC01684,0
DSC01685,0
DSC01686,0
DSC01687,1
DSC01688,0
DSC01689,0
DSC01690,0
DSC01691,0
DSC01692,0
DSC01693,0
DSC01694,0
DSC01695,0
DSC01696,0
DSC01697,0
DSC01698,1
DSC01699,0
DSC01700,0
DSC01701,0
DSC01702,0
DSC01703,0
DSC01704,0
DSC01705,0
DSC01706,0
DSC01707,1
DSC01708,0
DSC01709,0
DSC01710,1
DSC01711,0
DSC01712,0
DSC01713,1
DSC01714,1
DSC01715,0
DSC01716,1
DSC01717,0
DSC01718,0
DSC01719,0
DSC01720,0
DSC01721,1
DSC01722,0
DSC01723,0
DSC01724,0
DSC01725,0
DSC01726,0
DSC01727,1
DSC01728,0
DSC01729,0
DSC01730,0
DSC01731,0
DSC01732,1
DSC01733,1
DSC01734,1
DSC01735,0
DSC01736,0
DSC01737,0
DSC01738,0
DSC01739,0
DSC01740,0
DSC01741,0
DSC01742,0
DSC01743,0
DSC01744,0
DSC01745,0
DSC01746,0
DSC01747,0
DSC01748,1
DSC01749,1
DSC01750,0
DSC01751,0
DSC01752,0
DSC01753,0
DSC01754,0
DSC01755,1
DSC01756,1
DSC01757,0
DSC01758,0
DSC01759,0
DSC01760,0
DSC01761,0
DSC01762,0
DSC01763,1
DSC01764,1
DSC01765,0
DSC01766,0
DSC01767,1
DSC01768,1
DSC01769,0
DSC01770,0
DSC01771,0
DSC01772,0
DSC01773,0
DSC01774,0
DSC01775,0
DSC01776,0
DSC01777,0
DSC01778,0
DSC01779,0
DSC01780,0
DSC01781,1
DSC01782,1
DSC01783,0
DSC01784,0
DSC01785,0
DSC01786,1
DSC01787,0
DSC01788,0
DSC01789,0
DSC01790,0
DSC01791,1
DSC01792,0
DSC01793,0
DSC01794,0
DSC01795,1
DSC01796,0
DSC01797,0
DSC01798,0
DSC01799,0
DSC01800,1
DSC01801,0
DSC01802,0
DSC01803,0
DSC01804,0
DSC01805,0
DSC01806,0
DSC01807,0
DSC01808,0
DSC01809,0
DSC01810,0
DSC01811,0
DSC01812,0
DSC01813,0
DSC01814,0
DSC01815,0
DSC01816,0
DSC01817,0
DSC01818,0
DSC01819,0
DSC01820,0
DSC01821,0
DSC01822,0
DSC01823,0
DSC01824,0
DSC01825,0
DSC01826,0
DSC01827,0
DSC01828,0
DSC01829,0
DSC01830,0
DSC01831,0
DSC01832,0
DSC01833,0
DSC01834,0
DSC01835,0
DSC01836,0
DSC01837,0
DSC01838,0
DSC01839,0
DSC01840,0
DSC01841,0
DSC01842,0
DSC01843,0
DSC01844,0
DSC01845,1
DSC01846,1
DSC01847,1
DSC01848,0
DSC01849,0
DSC01850,0
DSC01851,1
DSC01852,0
DSC01853,0
DSC01854,1
DSC01855,0
DSC01856,0
DSC01857,0
DSC01858,0
DSC01859,0
DSC01860,0
DSC01861,0
DSC01862,0
DSC01863,0
DSC01864,1
DSC01865,1
DSC01866,1
DSC01867,0
DSC01868,0
DSC01869,0
DSC01870,0
DSC01871,1
DSC01872,0
DSC01873,0
DSC01874,0
DSC01875,0
DSC01876,0
DSC01877,1
DSC01878,1
DSC01879,1
DSC01880,0
DSC01881,0
DSC01882,0
DSC01883,0
DSC01884,0
DSC01885,0
DSC01886,0
DSC01887,0
DSC01888,0
DSC01889,0
DSC01890,0
DSC01891,0
DSC01892,0
DSC01893,0
DSC01894,0
DSC01895,0
DSC01896,0
DSC01897,0
DSC01898,0
DSC01899,0
DSC01900,0
DSC01901,0
DSC01902,0
DSC01903,0
DSC01904,0
DSC01905,0
DSC01906,0
DSC01907,0
DSC01908,0
DSC01909,0
DSC01910,0
DSC01911,0
DSC01912,1
DSC01913,0
DSC01914,0
DSC01915,0
DSC01916,0
DSC01917,0
DSC01918,0
DSC01919,0
DSC01920,0
DSC01921,0
DSC01922,0
DSC01923,1
DSC01924,0
DSC01925,1
DSC01926,0
DSC01927,0
DSC01928,0
DSC01929,0
DSC01930,0
DSC01931,0
DSC01932,0
DSC01933,0
DSC01934,1
DSC01935,0
DSC01936,0
DSC01937,0
DSC01938,1
DSC01939,0
DSC01940,0
DSC01941,0
DSC01942,0
DSC01943,0
DSC01944,0
DSC01945,0
DSC01946,0
DSC01947,0
DSC01948,0
DSC01949,0
DSC01951_0,1
DSC01951_1,1
DSC01951_2,1
DSC01951_3,1
DSC01952_0,1
DSC01952_1,1
DSC01952_2,1
DSC01952_3,1
DSC01953_0,1
DSC01953_1,1
DSC01953_2,1
DSC01953_3,1
DSC01974_0,1
DSC01974_1,0
DSC01974_2,0
DSC01974_3,1
DSC01975_0,1
DSC01975_1,1
DSC01975_2,1
DSC01975_3,1
DSC01976_0,0
DSC01976_1,1
DSC01976_2,1
DSC01976_3,1
DSC01977_0,1
DSC01977_1,1
DSC01977_2,1
DSC01977_3,1
DSC01978_0,1
DSC01978_1,1
DSC01978_2,1
DSC01978_3,1
DSC01979_0,1
DSC01979_1,1
DSC01979_2,1
DSC01979_3,1
DSC01980_0,0
DSC01980_1,0
DSC01980_2,1
DSC01980_3,1
DSC01981_0,1
DSC01981_1,0
DSC01981_2,1
DSC01981_3,1
DSC01982_0,1
DSC01982_1,1
DSC01982_2,1
DSC01982_3,1
DSC01983_0,1
DSC01983_1,1
DSC01983_2,1
DSC01983_3,1
DSC01984_0,1
DSC01984_1,0
DSC01984_2,0
DSC01984_3,0
DSC01985_0,0
DSC01985_1,1
DSC01985_2,0
DSC01985_3,0
DSC01986_0,1
DSC01986_1,0
DSC01986_2,1
DSC01986_3,1
DSC01987_0,1
DSC01987_1,1
DSC01987_2,0
DSC01987_3,0
DSC01988_0,1
DSC01988_1,0
DSC01988_2,1
DSC01988_3,0
DSC01989_0,0
DSC01989_1,1
DSC01989_2,1
DSC01989_3,1
DSC01990_0,1
DSC01990_1,1
DSC01990_2,1
DSC01990_3,1
DSC01991_0,0
DSC01991_1,1
DSC01991_2,1
DSC01991_3,1
DSC01992_0,1
DSC01992_1,1
DSC01992_2,1
DSC01992_3,1
DSC01993_0,1
DSC01993_1,1
DSC01993_2,1
DSC01993_3,1
DSC01994_0,1
DSC01994_1,1
DSC01994_2,0
DSC01994_3,1
DSC01995_0,0
DSC01995_1,0
DSC01995_2,1
DSC01995_3,1
DSC01996_0,1
DSC01996_1,1
DSC01996_2,0
DSC01996_3,1
DSC01997_0,1
DSC01997_1,1
DSC01997_2,1
DSC01997_3,1
DSC01998_0,1
DSC01998_1,1
DSC01998_2,1
DSC01998_3,1
DSC01999_0,0
DSC01999_1,1
DSC01999_2,1
DSC01999_3,1
DSC02000_0,1
DSC02000_1,1
DSC02000_2,1
DSC02000_3,1
DSC02001_0,1
DSC02001_1,1
DSC02001_2,1
DSC02001_3,1
DSC02002_0,1
DSC02002_1,1
DSC02002_2,0
DSC02002_3,1
DSC02003_0,1
DSC02003_1,1
DSC02003_2,1
DSC02003_3,1
DSC02004_0,0
DSC02004_1,1
DSC02004_2,1
DSC02004_3,1
DSC02005_0,0
DSC02005_1,1
DSC02005_2,1
DSC02005_3,1
DSC02006_0,0
DSC02006_1,0
DSC02006_2,1
DSC02006_3,1
DSC02007_0,0
DSC02007_1,1
DSC02007_2,1
DSC02007_3,1
DSC02008_0,1
DSC02008_1,1
DSC02008_2,1
DSC02008_3,0
DSC02009_0,1
DSC02009_1,1
DSC02009_2,1
DSC02009_3,1
DSC02010_0,1
DSC02010_1,0
DSC02010_2,1
DSC02010_3,1
DSC02011_0,1
DSC02011_1,1
DSC02011_2,0
DSC02011_3,1
DSC02012_0,1
DSC02012_1,1
DSC02012_2,1
DSC02012_3,1
DSC02013_0,1
DSC02013_1,1
DSC02013_2,1
DSC02013_3,0
DSC02014_0,1
DSC02014_1,1
DSC02014_2,0
DSC02014_3,1
DSC02015_0,1
DSC02015_1,1
DSC02015_2,1
DSC02015_3,1
DSC02016_0,1
DSC02016_1,1
DSC02016_2,1
DSC02016_3,1
DSC02017_0,1
DSC02017_1,1
DSC02017_2,1
DSC02017_3,0
DSC02018_0,0
DSC02018_1,1
DSC02018_2,0
DSC02018_3,1
DSC02019_0,0
DSC02019_1,1
DSC02019_2,1
DSC02019_3,1
DSC02020_0,1
DSC02020_1,1
DSC02020_2,1
DSC02020_3,1
DSC02021_0,0
DSC02021_1,1
DSC02021_2,0
DSC02021_3,1
DSC02022_0,1
DSC02022_1,1
DSC02022_2,1
DSC02022_3,1
DSC02023_0,0
DSC02023_1,1
DSC02023_2,1
DSC02023_3,1
DSC02024_0,1
DSC02024_1,1
DSC02024_2,1
DSC02024_3,1
DSC02025_0,1
DSC02025_1,0
DSC02025_2,1
DSC02025_3,1
DSC02026_0,0
DSC02026_1,1
DSC02026_2,1
DSC02026_3,1
DSC02027_0,0
DSC02027_1,1
DSC02027_2,1
DSC02027_3,1
DSC02028_0,1
DSC02028_1,1
DSC02028_2,1
DSC02028_3,1
DSC02029_0,1
DSC02029_1,1
DSC02029_2,1
DSC02029_3,1
DSC02030_0,1
DSC02030_1,1
DSC02030_2,1
DSC02030_3,0
DSC02031_0,1
DSC02031_1,1
DSC02031_2,1
DSC02031_3,0
DSC02032_0,1
DSC02032_1,0
DSC02032_2,1
DSC02032_3,1
DSC02033_0,1
DSC02033_1,0
DSC02033_2,1
DSC02033_3,1
DSC02034_0,0
DSC02034_1,1
DSC02034_2,0
DSC02034_3,1
DSC02035_0,1
DSC02035_1,1
DSC02035_2,1
DSC02035_3,1
DSC02036_0,0
DSC02036_1,1
DSC02036_2,0
DSC02036_3,1
DSC02037_0,0
DSC02037_1,0
DSC02037_2,0
DSC02037_3,1
DSC02038_0,1
DSC02038_1,0
DSC02038_2,1
DSC02038_3,0
DSC02039_0,0
DSC02039_1,1
DSC02039_2,0
DSC02039_3,1
DSC02040_0,1
DSC02040_1,0
DSC02040_2,0
DSC02040_3,1
DSC02041_0,0
DSC02041_1,1
DSC02041_2,1
DSC02041_3,1
DSC02042_0,0
DSC02042_1,1
DSC02042_2,1
DSC02042_3,0
DSC02043_0,1
DSC02043_1,1
DSC02043_2,1
DSC02043_3,0
DSC02044_0,1
DSC02044_1,1
DSC02044_2,0
DSC02044_3,0
DSC02045_0,0
DSC02045_1,1
DSC02045_2,0
DSC02045_3,1
DSC02046_0,1
DSC02046_1,1
DSC02046_2,0
DSC02046_3,0
DSC02047_0,1
DSC02047_1,1
DSC02047_2,1
DSC02047_3,1
DSC02048_0,1
DSC02048_1,0
DSC02048_2,1
DSC02048_3,1
DSC02049_0,1
DSC02049_1,1
DSC02049_2,1
DSC02049_3,1
DSC02050_0,1
DSC02050_1,1
DSC02050_2,1
DSC02050_3,1
DSC02051_0,0
DSC02051_1,1
DSC02051_2,1
DSC02051_3,1
DSC02052_0,1
DSC02052_1,1
DSC02052_2,0
DSC02052_3,1
DSC02053_0,1
DSC02053_1,1
DSC02053_2,1
DSC02053_3,1
DSC02054_0,0
DSC02054_1,1
DSC02054_2,1
DSC02054_3,0
DSC02055_0,1
DSC02055_1,0
DSC02055_2,0
DSC02055_3,1
DSC02056_0,1
DSC02056_1,1
DSC02056_2,1
DSC02056_3,1
DSC02057_0,1
DSC02057_1,1
DSC02057_2,1
DSC02057_3,1
DSC02058_0,0
DSC02058_1,1
DSC02058_2,1
DSC02058_3,0
DSC02059_0,1
DSC02059_1,0
DSC02059_2,1
DSC02059_3,0
DSC02060_0,1
DSC02060_1,1
DSC02060_2,0
DSC02060_3,1
DSC02061_0,1
DSC02061_1,1
DSC02061_2,1
DSC02061_3,1
DSC02062_0,1
DSC02062_1,1
DSC02062_2,1
DSC02062_3,0
DSC02063_0,1
DSC02063_1,1
DSC02063_2,1
DSC02063_3,1
DSC02064_0,1
DSC02064_1,1
DSC02064_2,1
DSC02064_3,1
DSC02065_0,1
DSC02065_1,1
DSC02065_2,1
DSC02065_3,1
DSC02066_0,1
DSC02066_1,1
DSC02066_2,1
DSC02066_3,1
DSC02067_0,1
DSC02067_1,1
DSC02067_2,1
DSC02067_3,1
DSC02068_0,1
DSC02068_1,1
DSC02068_2,1
DSC02068_3,1
DSC02069_0,1
DSC02069_1,1
DSC02069_2,1
DSC02069_3,1
DSC02070_0,1
DSC02070_1,1
DSC02070_2,0
DSC02070_3,1
DSC02071_0,1
DSC02071_1,1
DSC02071_2,1
DSC02071_3,1
DSC02072_0,0
DSC02072_1,1
DSC02072_2,1
DSC02072_3,1
DSC02073_0,1
DSC02073_1,1
DSC02073_2,1
DSC02073_3,0
DSC02074_0,1
DSC02074_1,0
DSC02074_2,1
DSC02074_3,1
DSC02075_0,1
DSC02075_1,1
DSC02075_2,1
DSC02075_3,1
DSC02076_0,0
DSC02076_1,1
DSC02076_2,0
DSC02076_3,1
DSC02077_0,1
DSC02077_1,1
DSC02077_2,1
DSC02077_3,1
DSC02078_0,1
DSC02078_1,1
DSC02078_2,1
DSC02078_3,1
DSC02079_0,1
DSC02079_1,1
DSC02079_2,1
DSC02079_3,1
DSC02080_0,1
DSC02080_1,1
DSC02080_2,0
DSC02080_3,1
DSC02081_0,1
DSC02081_1,1
DSC02081_2,1
DSC02081_3,1
DSC02082_0,1
DSC02082_1,1
DSC02082_2,1
DSC02082_3,1
DSC02083_0,1
DSC02083_1,1
DSC02083_2,1
DSC02083_3,1
DSC02084_0,1
DSC02084_1,1
DSC02084_2,1
DSC02084_3,1
DSC02085_0,1
DSC02085_1,0
DSC02085_2,1
DSC02085_3,1
DSC02086_0,1
DSC02086_1,1
DSC02086_2,1
DSC02086_3,1
DSC02087_0,0
DSC02087_1,1
DSC02087_2,1
DSC02087_3,0
DSC02088_0,1
DSC02088_1,1
DSC02088_2,1
DSC02088_3,1
DSC02089_0,0
DSC02089_1,1
DSC02089_2,1
DSC02089_3,1
DSC02090_0,0
DSC02090_1,1
DSC02090_2,1
DSC02090_3,1
DSC02091_0,0
DSC02091_1,0
DSC02091_2,0
DSC02091_3,1
DSC02092_0,1
DSC02092_1,0
DSC02092_2,1
DSC02092_3,1
DSC02093_0,1
DSC02093_1,1
DSC02093_2,1
DSC02093_3,1
DSC02094_0,1
DSC02094_1,1
DSC02094_2,1
DSC02094_3,1
DSC02095_0,1
DSC02095_1,1
DSC02095_2,1
DSC02095_3,1
DSC02096_0,1
DSC02096_1,1
DSC02096_2,1
DSC02096_3,1
DSC02097_0,1
DSC02097_1,0
DSC02097_2,1
DSC02097_3,1
DSC02098_0,1
DSC02098_1,1
DSC02098_2,1
DSC02098_3,1
DSC02099_0,0
DSC02099_1,0
DSC02099_2,1
DSC02099_3,0
DSC02100_1,0
DSC02100_2,0
DSC02100_3,0
DSC02101_0,0
DSC02101_1,0
DSC02101_3,0
DSC02102_0,1
DSC02102_1,0
DSC02102_2,1
DSC02102_3,0
DSC02103_0,0
DSC02103_2,0
DSC02103_3,0
DSC02104_0,1
DSC02104_1,0
DSC02104_2,0
DSC02105_0,1
DSC02105_1,1
DSC02105_2,1
DSC02105_3,0
DSC02106_0,1
DSC02106_1,1
DSC02106_2,1
DSC02106_3,1
DSC02107_1,1
DSC02107_2,1
DSC02107_3,1
DSC02108_0,1
DSC02108_1,1
DSC02108_2,1
DSC02108_3,1
DSC02109_0,1
DSC02109_2,1
DSC02109_3,1
DSC02110_0,0
DSC02110_1,1
DSC02110_2,0
DSC02110_3,1
DSC02111_0,1
